year,price,mileage,zip,model
2011,14.99,113.004,"""16802""",Ford F150
2013,22.999,64.362,"""16802""",Ford F150
2018,39.5,12,"""16802""",Ford F150
2016,22,86.456,"""16802""",Ford F150
2014,20.995,72.73,"""16802""",Ford F150
2016,38.998,24.996,"""16802""",Ford F150
2019,29.987,27.211,"""16802""",Ford F150
2019,35.998,7.1,"""16802""",Ford F150
2017,31.5,18.043,"""16802""",Ford F150
2016,29.681,41.442,"""16802""",Ford F150
2018,34.767,57.177,"""16802""",Ford F150
2016,30.945,15.372,"""16802""",Ford F150
2018,25.994,78.224,"""16802""",Ford F150
2018,57.988,11.158,"""16802""",Ford F150
2018,34,28.435,"""16802""",Ford F150
2017,31.987,45.813,"""16802""",Ford F150
2016,27.99,42.257,"""16802""",Ford F150
2016,29.5,30.32,"""16802""",Ford F150
2000,16.9,34.922,"""16802""",Ford F150
2016,26.997,48.877,"""16802""",Ford F150
2014,27.999,57.688,"""16802""",Ford F150
2013,17.9,114.442,"""16802""",Ford F150
2018,38.487,30.226,"""16802""",Ford F150
2018,56.9,9,"""16802""",Ford F150
2019,33.9,24.225,"""16802""",Ford F150
2018,28.487,41.931,"""16802""",Ford F150
2014,22,57.971,"""16802""",Ford F150
2018,31.987,37.274,"""16802""",Ford F150
2019,30.487,16.484,"""16802""",Ford F150
2018,29.999,13.74,"""16802""",Ford F150
2016,25.5,52.681,"""16802""",Ford F150
2016,33.9,40.99,"""16802""",Ford F150
2019,29.987,26.808,"""16802""",Ford F150
2019,46.98,17.082,"""16802""",Ford F150
2017,24.8,35.053,"""16802""",Ford F150
2016,26.995,18.187,"""16802""",Ford F150
2017,32.816,54.858,"""16802""",Ford F150
2015,14.5,191.986,"""16802""",Ford F150
2019,24.5,4.845,"""16802""",Ford F150
2015,25.95,98.768,"""16802""",Ford F150
2018,24.848,29.435,"""16802""",Ford F150
2015,19.5,69.146,"""16802""",Ford F150
2016,25.15,66.508,"""16802""",Ford F150
2014,18.774,86.682,"""16802""",Ford F150
2019,32.85,14.608,"""16802""",Ford F150
2014,19.998,82.602,"""16802""",Ford F150
2017,24.5,21.135,"""16802""",Ford F150
2019,31.99,13.91,"""16802""",Ford F150
2019,31.5,14.354,"""16802""",Ford F150
2017,28.998,43.092,"""16802""",Ford F150
2013,27.388,50.964,"""16802""",Ford F150
2018,30.999,18.152,"""16802""",Ford F150
2019,46.5,10.206,"""16802""",Ford F150
2018,28.995,21.085,"""16802""",Ford F150
2012,17,97.114,"""16802""",Ford F150
2019,38.9,1.907,"""16802""",Ford F150
2013,24,55.035,"""16802""",Ford F150
2013,18.685,101.602,"""16802""",Ford F150
2014,21.813,56.822,"""16802""",Ford F150
2018,41.9,8.8,"""16802""",Ford F150
2018,42.9,9.5,"""16802""",Ford F150
2013,20.988,98.361,"""16802""",Ford F150
2017,32.877,28.684,"""16802""",Ford F150
2014,19.983,78.442,"""16802""",Ford F150
2019,39.9,12.648,"""16802""",Ford F150
2016,29,38.085,"""16802""",Ford F150
2016,28.498,55.02,"""16802""",Ford F150
2014,23.998,71.37,"""16802""",Ford F150
2016,28.617,44.078,"""16802""",Ford F150
2019,33.9,12.947,"""16802""",Ford F150
2017,35.487,48.985,"""16802""",Ford F150
2018,29.487,34.139,"""16802""",Ford F150
2017,34.038,13.158,"""16802""",Ford F150
2018,55.95,3.848,"""16802""",Ford F150
2013,16,121.395,"""16802""",Ford F150
2017,25.5,22.359,"""16802""",Ford F150
2013,21.49,103.85,"""16802""",Ford F150
2017,26.928,42,"""16802""",Ford F150
2013,25.9,82.301,"""16802""",Ford F150
2009,17.852,35.624,"""16802""",Ford F150
2015,26,80.762,"""16802""",Ford F150
2010,19.978,64.968,"""16802""",Ford F150
2017,30.033,24.824,"""16802""",Ford F150
2019,39.9,12.648,"""16802""",Ford F150
2013,21.5,66.867,"""16802""",Ford F150
2019,28.5,33.246,"""16802""",Ford F150
2007,14.687,67.822,"""16802""",Ford F150
2018,31.987,40,"""16802""",Ford F150
2018,36.5,22.709,"""16802""",Ford F150
2014,23,91.178,"""16802""",Ford F150
2015,19.343,66.561,"""16802""",Ford F150
2016,24.997,34.398,"""16802""",Ford F150
2019,30.4,26.734,"""16802""",Ford F150
2017,26.995,3.506,"""16802""",Ford F150
2017,34,10.267,"""16802""",Ford F150
2016,30.4,33.831,"""16802""",Ford F150
2019,40.96,20.05,"""16802""",Ford F150
2017,34.99,40.768,"""16802""",Ford F150
2019,36.978,14.213,"""16802""",Ford F150
2016,32.5,38.915,"""16802""",Ford F150
2015,23.7,85.193,"""16802""",Ford F150
2018,39.9,13,"""16802""",Ford F150
2015,27.9,98.484,"""16802""",Ford F150
2019,29.4,35.154,"""16802""",Ford F150
2016,26.987,26.714,"""16802""",Ford F150
2018,32.5,35.055,"""16802""",Ford F150
2012,15,120.828,"""16802""",Ford F150
2018,39.5,8.1,"""16802""",Ford F150
2008,14.479,100.884,"""16802""",Ford F150
2016,27.55,62.502,"""16802""",Ford F150
2016,27.699,36.088,"""16802""",Ford F150
2017,28.7,32.688,"""16802""",Ford F150
2016,26.495,31.119,"""16802""",Ford F150
2018,28.5,30.415,"""16802""",Ford F150
2016,26.995,45.425,"""16802""",Ford F150
2017,28.497,36.216,"""16802""",Ford F150
2016,25.998,59.581,"""16802""",Ford F150
2013,24.97,55.384,"""16802""",Ford F150
2015,29.9,105.365,"""16802""",Ford F150
2019,26.988,23.144,"""16802""",Ford F150
2016,36.5,24.406,"""16802""",Ford F150
2010,19.978,64.968,"""16802""",Ford F150
2016,28.533,37.558,"""16802""",Ford F150
2016,29.8,88.025,"""16802""",Ford F150
2016,26.495,39.581,"""16802""",Ford F150
2013,24.995,66.744,"""16802""",Ford F150
2018,41.488,24.298,"""16802""",Ford F150
2016,26.987,20.773,"""16802""",Ford F150
2018,28.9,35.186,"""16802""",Ford F150
2017,33.5,35.639,"""16802""",Ford F150
2016,33.091,60.575,"""16802""",Ford F150
2012,15.995,118.654,"""16802""",Ford F150
2016,29.3,47.704,"""16802""",Ford F150
2013,20.907,112.81,"""16802""",Ford F150
2019,43.1,26.22,"""16802""",Ford F150
2018,25.8,33.074,"""16802""",Ford F150
2011,18.488,45.083,"""16802""",Ford F150
2019,32.95,36.904,"""16802""",Ford F150
2017,28.5,38.843,"""16802""",Ford F150
2018,31.5,28.396,"""16802""",Ford F150
2014,23,69.708,"""16802""",Ford F150
2013,26,59.618,"""16802""",Ford F150
2019,31.99,13.58,"""16802""",Ford F150
2016,23,99.805,"""16802""",Ford F150
2017,25.9,33.072,"""16802""",Ford F150
