year,price,mileage,zip,model
2017,22.987,26.032,"""07640""",Honda CR-V
2016,20.688,7.152,"""07640""",Honda CR-V
2013,15.994,30.271,"""07640""",Honda CR-V
2010,10.777,74.094,"""07640""",Honda CR-V
2018,25.199,11.309,"""07640""",Honda CR-V
2016,19.5,44.576,"""07640""",Honda CR-V
2016,20.69,30.589,"""07640""",Honda CR-V
2013,12.999,90.818,"""07640""",Honda CR-V
2016,17.798,16.026,"""07640""",Honda CR-V
2012,13.684,56.056,"""07640""",Honda CR-V
2018,21.937,12.298,"""07640""",Honda CR-V
2007,6.8,155.236,"""07640""",Honda CR-V
2017,25.66,10.989,"""07640""",Honda CR-V
2016,20.9,14.564,"""07640""",Honda CR-V
2012,13.25,49.832,"""07640""",Honda CR-V
2015,15.661,66.874,"""07640""",Honda CR-V
2016,14.383,34.699,"""07640""",Honda CR-V
2017,23.985,27.602,"""07640""",Honda CR-V
2016,20.289,31.228,"""07640""",Honda CR-V
2016,18.495,25.352,"""07640""",Honda CR-V
2017,22.5,36.041,"""07640""",Honda CR-V
2016,15.695,54.69,"""07640""",Honda CR-V
2016,17.25,33.315,"""07640""",Honda CR-V
2017,22.64,16.402,"""07640""",Honda CR-V
2017,24.373,12.796,"""07640""",Honda CR-V
2016,19.998,32.283,"""07640""",Honda CR-V
2016,14.9,36.804,"""07640""",Honda CR-V
2017,21,34.541,"""07640""",Honda CR-V
2010,8.49,129.939,"""07640""",Honda CR-V
2019,28.2,13.22,"""07640""",Honda CR-V
2014,15.5,46.388,"""07640""",Honda CR-V
2016,18.542,23.249,"""07640""",Honda CR-V
2018,23.895,13.004,"""07640""",Honda CR-V
2016,16.692,27.15,"""07640""",Honda CR-V
2014,14.99,56.6,"""07640""",Honda CR-V
2017,20.736,10.144,"""07640""",Honda CR-V
2017,17.973,20.928,"""07640""",Honda CR-V
2017,23.523,28.237,"""07640""",Honda CR-V
2016,18.895,12.672,"""07640""",Honda CR-V
2018,23.98,24.178,"""07640""",Honda CR-V
2007,7.992,78.536,"""07640""",Honda CR-V
2017,23.405,35.85,"""07640""",Honda CR-V
2017,20,41.291,"""07640""",Honda CR-V
2016,19.569,10.848,"""07640""",Honda CR-V
2011,11.952,54.351,"""07640""",Honda CR-V
2016,19.994,34.456,"""07640""",Honda CR-V
2016,16.486,39.279,"""07640""",Honda CR-V
2016,15.845,39.519,"""07640""",Honda CR-V
2013,12.39,90.028,"""07640""",Honda CR-V
2016,16,37.553,"""07640""",Honda CR-V
2018,23.4,19.758,"""07640""",Honda CR-V
2011,9.995,84.53,"""07640""",Honda CR-V
2017,22.717,44.432,"""07640""",Honda CR-V
2017,24.998,24.156,"""07640""",Honda CR-V
2016,18.119,23.788,"""07640""",Honda CR-V
2018,21.507,26.509,"""07640""",Honda CR-V
2019,23.561,0.004,"""07640""",Honda CR-V
2017,22.8,30.04,"""07640""",Honda CR-V
2011,10.5,77.953,"""07640""",Honda CR-V
2011,11.694,60.037,"""07640""",Honda CR-V
2016,19.698,27.384,"""07640""",Honda CR-V
2016,17.898,28.461,"""07640""",Honda CR-V
2016,16.498,19.397,"""07640""",Honda CR-V
2014,15,31.418,"""07640""",Honda CR-V
2016,15.99,36.873,"""07640""",Honda CR-V
2016,19.826,28.701,"""07640""",Honda CR-V
2016,17.998,26.274,"""07640""",Honda CR-V
2016,14.9,29.969,"""07640""",Honda CR-V
2017,21.195,43.395,"""07640""",Honda CR-V
2016,19.801,38.344,"""07640""",Honda CR-V
2017,21.982,23.194,"""07640""",Honda CR-V
2017,23.5,22.209,"""07640""",Honda CR-V
2016,20,22.341,"""07640""",Honda CR-V
2017,20.999,39.796,"""07640""",Honda CR-V
2017,22,25.04,"""07640""",Honda CR-V
2016,15.99,25.938,"""07640""",Honda CR-V
2017,22.998,27.774,"""07640""",Honda CR-V
2016,20.328,26.293,"""07640""",Honda CR-V
2014,15.55,51.241,"""07640""",Honda CR-V
2018,26.845,10.462,"""07640""",Honda CR-V
2016,16.299,37.719,"""07640""",Honda CR-V
2017,21.98,28.231,"""07640""",Honda CR-V
2016,18.962,16.174,"""07640""",Honda CR-V
2017,22.994,37.551,"""07640""",Honda CR-V
2017,25.536,12.903,"""07640""",Honda CR-V
2017,23.419,37.805,"""07640""",Honda CR-V
2016,19,24.098,"""07640""",Honda CR-V
2017,22.998,38.059,"""07640""",Honda CR-V
2019,25.9,5.229,"""07640""",Honda CR-V
2013,13.997,69.38,"""07640""",Honda CR-V
2016,15.994,37.661,"""07640""",Honda CR-V
2015,18.995,34.402,"""07640""",Honda CR-V
2016,15.599,46.662,"""07640""",Honda CR-V
2016,19.499,31.97,"""07640""",Honda CR-V
2016,19.998,31.467,"""07640""",Honda CR-V
2016,18,25.835,"""07640""",Honda CR-V
2015,12.9,44.953,"""07640""",Honda CR-V
2016,17.298,35.322,"""07640""",Honda CR-V
2016,15.659,34.32,"""07640""",Honda CR-V
2016,15.3,27.674,"""07640""",Honda CR-V
2016,19.888,34.888,"""07640""",Honda CR-V
2018,21.595,20.429,"""07640""",Honda CR-V
2016,15.424,42.448,"""07640""",Honda CR-V
2013,12.3,95.828,"""07640""",Honda CR-V
2016,16,51.847,"""07640""",Honda CR-V
2014,17.495,38.405,"""07640""",Honda CR-V
2010,7.972,86.877,"""07640""",Honda CR-V
2019,25.801,3.892,"""07640""",Honda CR-V
2016,20.214,34.031,"""07640""",Honda CR-V
2016,18.488,26.234,"""07640""",Honda CR-V
2017,21.627,19.968,"""07640""",Honda CR-V
2019,28,6.415,"""07640""",Honda CR-V
2019,29.75,9.476,"""07640""",Honda CR-V
2015,19.059,21.006,"""07640""",Honda CR-V
2016,17.798,29.624,"""07640""",Honda CR-V
2011,11.5,69.985,"""07640""",Honda CR-V
2016,19.45,34.942,"""07640""",Honda CR-V
2016,17.998,22.444,"""07640""",Honda CR-V
2016,15.695,49.754,"""07640""",Honda CR-V
2017,22.865,27.023,"""07640""",Honda CR-V
2016,14.99,38.489,"""07640""",Honda CR-V
2018,22.888,14.43,"""07640""",Honda CR-V
2017,20.487,41.501,"""07640""",Honda CR-V
2017,22.495,42.361,"""07640""",Honda CR-V
2016,18.307,28.393,"""07640""",Honda CR-V
2016,21,39.853,"""07640""",Honda CR-V
2016,16.65,39.523,"""07640""",Honda CR-V
2016,19.995,22.814,"""07640""",Honda CR-V
2019,23.084,0.003,"""07640""",Honda CR-V
2015,17.583,67.595,"""07640""",Honda CR-V
2016,15.895,32.933,"""07640""",Honda CR-V
2016,14.795,48.926,"""07640""",Honda CR-V
2016,14.9,24.486,"""07640""",Honda CR-V
2018,18.595,28.439,"""07640""",Honda CR-V
2017,23.998,21.453,"""07640""",Honda CR-V
2017,22,24.754,"""07640""",Honda CR-V
2012,11.988,62.757,"""07640""",Honda CR-V
2015,16.535,37.61,"""07640""",Honda CR-V
2017,22.206,36.957,"""07640""",Honda CR-V
2014,12.69,84.22,"""07640""",Honda CR-V
