year,price,mileage,zip,model
2014,12.5,78.238,"""16802""",Toyota Camry
2017,19.6,6.821,"""16802""",Toyota Camry
2017,17.84,12.939,"""16802""",Toyota Camry
2016,15.99,36.848,"""16802""",Toyota Camry
2017,18.6,17.996,"""16802""",Toyota Camry
2018,20.9,17.658,"""16802""",Toyota Camry
2017,21.59,48.927,"""16802""",Toyota Camry
2017,15.3,44.203,"""16802""",Toyota Camry
2017,19.1,29.975,"""16802""",Toyota Camry
2018,18.7,39.495,"""16802""",Toyota Camry
2002,2.5,285.491,"""16802""",Toyota Camry
2017,16.95,29.438,"""16802""",Toyota Camry
2009,6.997,94.678,"""16802""",Toyota Camry
2018,21.982,4.58,"""16802""",Toyota Camry
2017,22.997,19.233,"""16802""",Toyota Camry
2017,17.75,40.928,"""16802""",Toyota Camry
2017,14.5,24.903,"""16802""",Toyota Camry
2017,22.574,28.37,"""16802""",Toyota Camry
2012,9.795,98.359,"""16802""",Toyota Camry
2014,13.495,68.23,"""16802""",Toyota Camry
2011,8.988,107.851,"""16802""",Toyota Camry
2013,12.76,58.716,"""16802""",Toyota Camry
2015,10,99.422,"""16802""",Toyota Camry
2019,27.884,16.041,"""16802""",Toyota Camry
2018,24.993,38.825,"""16802""",Toyota Camry
2015,12.595,62.296,"""16802""",Toyota Camry
2015,13.549,78.242,"""16802""",Toyota Camry
2019,22.089,18.421,"""16802""",Toyota Camry
2014,13.69,51.144,"""16802""",Toyota Camry
2011,6.994,116.338,"""16802""",Toyota Camry
2018,21.5,31.005,"""16802""",Toyota Camry
2016,15.777,49.741,"""16802""",Toyota Camry
2017,15.999,41.638,"""16802""",Toyota Camry
2017,22.485,17.577,"""16802""",Toyota Camry
2014,12.99,28.874,"""16802""",Toyota Camry
2016,18.99,63.999,"""16802""",Toyota Camry
2019,21.499,8.664,"""16802""",Toyota Camry
2005,6.322,94.429,"""16802""",Toyota Camry
2017,16.477,35.278,"""16802""",Toyota Camry
2019,18.489,38.458,"""16802""",Toyota Camry
2017,18.488,60.067,"""16802""",Toyota Camry
2015,16.999,24.872,"""16802""",Toyota Camry
2018,19.444,37.588,"""16802""",Toyota Camry
2015,12.797,66.586,"""16802""",Toyota Camry
2017,17.9,16.777,"""16802""",Toyota Camry
2014,12.83,76.028,"""16802""",Toyota Camry
2014,13.689,58.598,"""16802""",Toyota Camry
2006,7.995,72.482,"""16802""",Toyota Camry
2012,9.998,43,"""16802""",Toyota Camry
2014,12,69.594,"""16802""",Toyota Camry
2012,12.995,32.672,"""16802""",Toyota Camry
2017,16.449,31.442,"""16802""",Toyota Camry
2017,22.774,29.192,"""16802""",Toyota Camry
2017,17.7,22.465,"""16802""",Toyota Camry
2012,9.8,75.076,"""16802""",Toyota Camry
2018,17.2,38.785,"""16802""",Toyota Camry
2016,18.59,69.49,"""16802""",Toyota Camry
2014,12.089,109.973,"""16802""",Toyota Camry
2003,4.997,93.633,"""16802""",Toyota Camry
2018,27.912,28.354,"""16802""",Toyota Camry
2011,7.2,113.5,"""16802""",Toyota Camry
2011,6.59,140.788,"""16802""",Toyota Camry
